ITEM,NEEDED
Books,1
Pens,3
Pencils,2
Highlighter,2 colors
Scissors,1 pair
City or Town,Point A,Point B,Point C,Point D,Point E
Point A,—,,,,
Point B,87,—,,,
Point C,64,56,—,,
Point D,37,32,91,—,
Point E,93,35,54,43,—
College,New students,Graduating students,Change
,Undergraduate,,
Cedar University,110,103,+7
Oak Institute,202,210,-8
,Graduate,,
Cedar University,24,20,+4
Elm College,43,53,-10
Total,998,908,90
,"To the left is a table inside a table, with some cells merged."
December 2007,December 2007,December 2007,December 2007,December 2007,December 2007,December 2007,December 2007,December 2007,December 2007,December 2007,December 2007,December 2007
Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,Sat
,,,,,,,,,,,,1,1
,,,,,,,,,,,,,
2,,3,,4,,5,,6,,7,,8,8
,,,,,,,,,,,,,
9,,10,,11,,12,,13,,14,,15,15
,,,,,,,,,,,,,
16,,17,,18,,19,,20,,21,,22,22
,,,,,,,,,,,,,
23,,24,,25,,26,,27,,28,,29,29
,,,,,,,,,,,,,
30,,31,,,,,,,,,,,
